Red List Species ID,Family,Genus,Species,Authority,,Red List status,Overexploitation/harvesting ,Importance Ecosystem services,Importance habitat quality,Red List criteria,Red List criteria version,Year assessed,Population trend,Source
199688,PALMAE,Calamus,tenuis,Roxb.,,LC,1,1,1,,3.1,2011,stable,http://www.iucnredlist.org/ 
46596,PALMAE,Calamus,wailong,S.J.Pei & S.Y.Chen,,CR,2,1,1,B1ab(ii),3.1,2004,,http://www.iucnredlist.org/ 
,,Carpoxylon,macrospermum,,,CR,0,2,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
43977,PALMAE,Ceroxylon,amazonicum,Galeano,,EN,1,2,2,A4c,3.1,2003,decreasing,http://www.iucnredlist.org/ 
43978,PALMAE,Ceroxylon,echinulatum,Galeano,,VU,2,2,1,A4cd; D2,3.1,2003,decreasing,http://www.iucnredlist.org/ 
,,Ceroxylon,sasaimae,,,CR,1,2,1,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
,,Chamaedorea,alternans,,,EN,1,1,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
,,Chamaedorea,tuerckheimii,,,CR,2,1,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
46597,PALMAE,Chuniophoenix,hainanensis,Burret,,EN,1,1,1,A2c,3.1,2004,,http://www.iucnredlist.org/ 
,,Coccothrinax,borhidiana,,,CR,0,1,1,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
,,Copernicia,fallaensis,,,CR,2,2,1,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
,,Cryosophila,williamsii,,,EW,1,1,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
,,Daemonorops,unijuga,,,CR,1,1,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
38508,PALMAE,Deckenia,nobilis,H.Wendl. ex Seem.,,VU,0,1,2,B1ab(iii)+2ab(iii),3.1,2011,unknown,http://www.iucnredlist.org/ 
,,Dypsis,eriostachys,,,CR,1,1,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
34462,PALMAE,Dypsis,pembana,(H.E.Moore) Beentje & J.Dransf.,,VU,1,1,2,D2,3.1,2009,stable,http://www.iucnredlist.org/ 
,,Dypsis,sanctaemariae,,,CR,1,1,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
,,Dypsis,trapezoidea,,,CR,1,1,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
,,Geonoma,epetiolata,,,VU,2,1,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
43979,PALMAE,Geonoma,irena,Borchs.,,EN,0,1,2,A2c,3.1,2003,decreasing,http://www.iucnredlist.org/ 
,,Geonoma,tenuissima,,,CR,0,1,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
43980,PALMAE,Hyospathe,macrorhachis,Burret,,NT,0,1,2,,3.1,2003,unknown,http://www.iucnredlist.org/ 
,,Lemurophoenix,halleuxii,,,CR,2,2,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
,,Lepidorrhachis,mooreana,,,EN,0,2,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
46598,PALMAE,Licuala,dasyantha,Burret,,VU,1,1,2,A2c,3.1,2004,,http://www.iucnredlist.org/ 
,,Livistona,lanuginosa,,,VU,0,2,1,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
38602,PALMAE,Lodoicea,maldivica,(J.F.Gmel.) Pers.,,EN,2,2,2,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,2011,decreasing,http://www.iucnredlist.org/ 
,,Medemia,argun,,,EN,1,2,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
,,Neoveitchia,brunnea,,,EN,0,2,1,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
38614,PALMAE,Nephrosperma,van-houtteanum,(H.Wendl. ex Van Houtte) Balf.f.,,LC,0,1,1,,3.1,2011,stable,http://www.iucnredlist.org/ 
178800,PALMAE,Nypa,fruticans,Wurmb,,LC,0,2,1,,3.1,2010,unknown,http://www.iucnredlist.org/ 
61421,PALMAE,Parajubaea,sunkha,Moraes,,EN,1,2,1,B1ab(iii)c(iv)+2ab(iii)c(iv),3.1,2006,unknown,http://www.iucnredlist.org/ 
,,Pelagodoxa,henryana,,,EW,0,2,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
38628,PALMAE,Phoenicophorium,borsigianum,(K.Koch) Stuntz,,LC,0,1,0,,3.1,2011,stable,http://www.iucnredlist.org/ 
178816,PALMAE,Phoenix,paludosa,Roxb.,,NT,0,1,1,,3.1,2010,decreasing,http://www.iucnredlist.org/ 
43981,PALMAE,Phytelephas,aequatorialis,Spruce,,NT,1,1,2,,3.1,2003,decreasing,http://www.iucnredlist.org/ 
46599,PALMAE,Pinanga,tashiroi,Hayata,,CR,1,1,2,"B1ab(ii,iii,v)",3.1,2004,,http://www.iucnredlist.org/ 
46600,PALMAE,Plectocomia,microstachys,Burret,,EN,1,1,1,A2c,3.1,2004,,http://www.iucnredlist.org/ 
,,Pritchardia,aylmer-robinsonii,,,CR,0,1,1,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
185206,PALMAE,Raphia,palma-pinus,(Gaertn.) Hutch.,,DD,2,2,1,,3.1,2010,decreasing,http://www.iucnredlist.org/ 
46200,PALMAE,Raphia,regalis,Becc.,,VU,1,2,2,B2ab(iii),3.1,2004,,http://www.iucnredlist.org/ 
185457,PALMAE,Raphia,sudanica,A.Chev.,,DD,1,2,1,,3.1,2010,decreasing,http://www.iucnredlist.org/ 
38687,PALMAE,Roscheria,melanochaetes,(H.Wendl.) H.Wendl. ex Balf.f.,,NT,0,1,1,,3.1,2011,unknown,http://www.iucnredlist.org/ 
46601,PALMAE,Trachycarpus,nana,Becc.,,EN,1,1,1,A2c,3.1,2004,,http://www.iucnredlist.org/ 
38722,PALMAE,Verschaffeltia,splendida,H.Wendl.,,NT,1,2,1,,3.1,2011,unknown,http://www.iucnredlist.org/ 
,,Voanioala,gerardii,,,CR,2,2,2,,Preliminary Assessment,,,http://www.iucn.org/about/work/programmes/species/who_we_are/ssc_specialist_groups_and_red_list_authorities_directory/plants/palm_sg/psg_palms_for_conservation/
43982,PALMAE,Wettinia,aequatorialis,R.Bernal,,VU,0,1,2,B1ab(iii),3.1,2003,decreasing,http://www.iucnredlist.org/ 
38732,PALMAE,Wettinia,minima,R.Bernal,,EN,0,1,2,B1ab(iii),3.1,2003,unknown,http://www.iucnredlist.org/ 
