"Region","Country","AZE_ID","MapID","Type","SiteNameFi","Latitude","Longitude","NewSpeciesName","Scientific","Common_nam","Class","Order_","Family","IUCNCode","BirdLifeCode","2008_10__R","PercentProtectedWDPA","ProtectionWDPA","Protected","Protecte_1","AZE2005_si","2005_2009","AZE_site__","AZE2005_Tr","SitRedID","WDPA Site Code","IUCN Red List Link","BirdLife DZ Species Link","BirdLife DZ Site Link","Protected Planet Link","Field29"
"AMERICAS","Bolivia",22,"BOL1","Single Site","Alto Ambor¾",-17.736011,-64.044027,,"Gastrotheca splendens",,"AMPHIBIA","ANURA","AMPHIGNATHODONTIDAE",55359,,,100,,,,"Alto Ambor¾",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/55359/0",,,,
"AFRICA","Comoros",367,"COM1","Single Site","Mount Karthala",-11.752458,43.356022,,"Dicrurus fuscipennis","Grand Comoro Drongo","AVES","PASSERIFORMES","DICRURIDAE",106006031,6031,"EN",0,,"Unprotected","Unprotected",,,,-1,6451,,"http://www.iucnredlist.org/apps/redlist/details/106006031/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=6031","http://www.birdlife.org/datazone/sitefactsheet.php?id=6451",,
"AFRICA","Comoros",367,"COM1","Single Site","Mount Karthala",-11.752458,43.356022,,"Humblotia flavirostris","Grand Comoro Flycatcher","AVES","PASSERIFORMES","MUSCICAPIDAE",106006511,6511,"EN",0,,"Unprotected","Unprotected",,,,-1,6451,,"http://www.iucnredlist.org/apps/redlist/details/106006511/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=6511","http://www.birdlife.org/datazone/sitefactsheet.php?id=6451",,
"AFRICA","Comoros",367,"COM1","Single Site","Mount Karthala",-11.752458,43.356022,,"Otus pauliani","Grand Comoro Scops-owl","AVES","STRIGIFORMES","STRIGIDAE",106002184,2184,"CR",0,,"Unprotected","Unprotected",,,,-1,6451,,"http://www.iucnredlist.org/apps/redlist/details/106002184/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=2184","http://www.birdlife.org/datazone/sitefactsheet.php?id=6451",,
"AFRICA","Comoros",385,"COM2","Single Site","Mwali highlands",-12.309255,43.701846,,"Otus moheliensis","Moheli Scops-owl","AVES","STRIGIFORMES","STRIGIDAE",106009820,9820,"CR",0,,"Unprotected","Unprotected","Moheli/Mwali Highlands",,,-1,6453,,"http://www.iucnredlist.org/apps/redlist/details/106009820/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=9820","http://www.birdlife.org/datazone/sitefactsheet.php?id=6453",,
"AFRICA","Comoros",1004,"COM3","Single Site","Ndzuani highlands",-12.239108,44.443711,,"Otus capnodes","Anjouan Scops-owl","AVES","STRIGIFORMES","STRIGIDAE",106002183,2183,"CR",0,,"Unprotected","Unprotected",,,,-1,6454,,"http://www.iucnredlist.org/apps/redlist/details/106002183/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=2183","http://www.birdlife.org/datazone/sitefactsheet.php?id=6454",,
"AFRICA","Congo, The Democratic Republic of",257,"COD1","Single Site","Itombwe Mountains",-3.674081,28.756047,,"Hyperolius leleupi",,"AMPHIBIA","ANURA","HYPEROLIIDAE",56156,,"EN",0,,"Unprotected","Unprotected","Itombwe Mountains",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/56156/0",,,,
"AFRICA","Congo, The Democratic Republic of",257,"COD1","Single Site","Itombwe Mountains",-3.674081,28.756047,,"Caprimulgus prigoginei","Itombwe Nightjar","AVES","CAPRIMULGIFORMES","CAPRIMULGIDAE",106002417,2417,"EN",0,,"Unprotected","Unprotected",,,,-1,6070,,"http://www.iucnredlist.org/apps/redlist/details/106002417/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=2417","http://www.birdlife.org/datazone/sitefactsheet.php?id=6070",,
"AFRICA","Congo, The Democratic Republic of",257,"COD1","Single Site","Itombwe Mountains",-3.674081,28.756047,,"Phodilus prigoginei","Congo Bay-owl","AVES","STRIGIFORMES","TYTONIDAE",106002159,2159,"EN",0,,"Unprotected","Unprotected",,,,-1,6070,,"http://www.iucnredlist.org/apps/redlist/details/106002159/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=2159","http://www.birdlife.org/datazone/sitefactsheet.php?id=6070",,
"AFRICA","Madagascar",28,"MDG2","Single Site","Andohahela National Park: Parcel I",-24.712005,46.764038,,"Spinomantis microtis",,"AMPHIBIA","ANURA","MANTELLIDAE",57504,,"EN",99,,"Protected","National Park","Andohahela National Park: Parcel I",,,-1,,"Andohahela_National_Park","http://www.iucnredlist.org/apps/redlist/details/57504/0",,,"http://www.protectedplanet.net/sites/Andohahela_National_Park",
"AFRICA","Congo, The Democratic Republic of",275,"COD3","Single Site","Kokolopori",0.302065,23.013485,,"Cercopithecus dryas","Dryas Guenon","MAMMALIA","PRIMATES","CERCOPITHECIDAE",4216,,"CR",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/4216/0",,,,
"AMERICAS","Mexico",25,"MEX4","Single Site","Alto Golfo de California y Delta del RÝo Colorado",31.517915,-114.498031,,"Phocoena sinus","Gulf Of California Harbour Porpoise","MAMMALIA","CETARTIODACTYLA","PHOCOENIDAE",17028,,"CR",100,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/17028/0",,,,
"AMERICAS","Cuba",39,"CUB2",,"ArchipiÚlago de los Canarreos",21.637818,-81.488421,,"Mysateles garridoi","Garrido's Hutia","MAMMALIA","RODENTIA","CAPROMYIDAE",14254,,,0,,,,"Cayos Maja, ArchipiÚlago de Canerreos",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/14254/0",,,,
"AFRICA","Cote d'Ivoire, Guinea, Liberia",351,"CIV1, GIN1, LIBR1","Transboundary complex","Mount Nimba",7.545991,-8.410721,,"Arthroleptis crusculum",,"AMPHIBIA","ANURA","ARTHROLEPTIDAE",54369,,"EN",68,,"Partial","Biosphere Reserve and World Heritage Site/National","Mont Nimba Strict Nature Reserve/Monts Nimba/Nimba",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/54369/0",,,,
"AFRICA","Cote d'Ivoire, Guinea, Liberia",351,"CIV1, GIN1, LIBR1","Transboundary complex","Mount Nimba",7.545991,-8.410721,,"Hyperolius nimbae",,"AMPHIBIA","ANURA","HYPEROLIIDAE",56170,,"EN",68,,"Partial","Biosphere Reserve and World Heritage Site/National","Mont Nimba Strict Nature Reserve/Monts Nimba/Nimba",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/56170/0",,,,
"AFRICA","Cote d'Ivoire, Guinea, Liberia",351,"CIV1, GIN1, LIBR1","Transboundary complex","Mount Nimba",7.545991,-8.410721,,"Nimbaphrynoides liberiensis",,"AMPHIBIA","ANURA","BUFONIDAE",54848,,"CR",68,,"Partial","Biosphere Reserve and World Heritage Site/National","Mont Nimba Strict Nature Reserve/Monts Nimba/Nimba",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/54848/0",,,,
"AFRICA","Cote d'Ivoire, Guinea, Liberia",351,"CIV1, GIN1, LIBR1","Transboundary complex","Mount Nimba",7.545991,-8.410721,,"Hipposideros lamottei","Lamotte's Roundleaf Bat","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE",10141,,"CR",68,,"Partial","Biosphere Reserve and World Heritage Site/National","Mont Nimba Strict Nature Reserve/Monts Nimba/Nimba",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/10141/0",,,,
"AFRICA","Madagascar",30,"MDG3","Single Site","Andringitra National Park",-22.229153,46.929625,,"Mantidactylus madecassus",,"AMPHIBIA","ANURA","MANTELLIDAE",57498,,"EN",95,,"Protected","National Park","Andringitra National Park",,,-1,,"Andringitra_National_Park","http://www.iucnredlist.org/apps/redlist/details/57498/0",,,"http://www.protectedplanet.net/sites/Andringitra_National_Park",
"AFRICA","Madagascar",34,"MDG5","Single Site","Ankarafantsika and surrounds",-16.266631,46.97737,,"Macrotarsomys ingens","Long-tailed Big-footed Mouse","MAMMALIA","RODENTIA","NESOMYIDAE",12646,,"EN",46,,"Protected","Ankarafantsika Strict Nature Reserve and Ampijoroa","Ankarafantsika Strict Nature Reserve and Ampijoroa",,,-1,,"0","http://www.iucnredlist.org/apps/redlist/details/12646/0",,,"http://www.protectedplanet.net/sites/0",
"AMERICAS","United States of America",38,"USA3","Single Site","Aransas National Wildlife Refuge",28.182423,-97.024918,,"Grus americana","Whooping Crane","AVES","GRUIFORMES","GRUIDAE",106002796,2796,"EN",98,,"Protected","Aransas National Wildlife Refuge",,,,-1,25209,"Aransas_National_Wildlife_Refuge_Fws","http://www.iucnredlist.org/apps/redlist/details/106002796/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=2796","http://www.birdlife.org/datazone/sitefactsheet.php?id=25209","http://www.protectedplanet.net/sites/Aransas_National_Wildlife_Refuge_Fws",
"AMERICAS","Mexico",41,"MEX6","Single Site","ArchipiÚlago San JosÚ",25.068836,-110.640995,,"Dipodomys insularis","San Jose Island Kangaroo Rat","MAMMALIA","RODENTIA","HETEROMYIDAE",6687,,"CR",26,,"Protected","Islas del Golfo de California Flora and Fauna Prot","ArchipiÚlago San JosÚ","No",,-1,,"Islas_Del_Golfo_De_California_Flora_And_Fauna_Protection_Area","http://www.iucnredlist.org/apps/redlist/details/6687/0",,,"http://www.protectedplanet.net/sites/Islas_Del_Golfo_De_California_Flora_And_Fauna_Protection_Area",
"AFRICA","Ethiopia",50,"ETH1","Single Site","Bale Mountains",6.92982,39.676185,,"Tachyoryctes macrocephalus","Big-headed Mole Rat","MAMMALIA","RODENTIA","SPALACIDAE",21293,,"EN",100,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/21293/0",,,,
"AFRICA","Ethiopia",201,"ETH2","Single Site","Gughe Mountains",6.174476,37.441816,,"Leptopelis susanae",,"AMPHIBIA","ANURA","ARTHROLEPTIDAE",56281,,"EN",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/56281/0",,,,
"AFRICA","Ethiopia",299,"ETH3","Single Site","Little Abbai River",11.1222,37.2111,,"Nilopegamys plumbeus","Ethiopian Amphibious Rat","MAMMALIA","RODENTIA","MURIDAE",40766,,"CR",0,,"Unknown","Unknown","Little Abbai River",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/40766/0",,,,
"Africa","Ethiopia",304,"AUS10","Single Site","Liben plains and Negele woodlands",5.164065,39.695844,,"Heteromirafra sidamoensis","Liben Lark","AVES","PASSERIFORMES","ALAUDIDAE",106008123,8123,"CR",100,,,,,,,0,6296,,"http://www.iucnredlist.org/apps/redlist/details/106008123/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=8123","http://www.birdlife.org/datazone/sitefactsheet.php?id=6296",,
"AMERICAS","Ecuador",43,"ECU2","Single Site","Áreas costeras de Fernandina y del occidente de Isabela",-0.406108,-91.544145,,"Camarhynchus heliobates","Mangrove Finch","AVES","PASSERIFORMES","EMBERIZIDAE",106009612,9612,"CR",100,,"Protected","Galapagos National Park","Isabela-Fernandina",,,-1,19128,"Galapagos_National_Park","http://www.iucnredlist.org/apps/redlist/details/106009612/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=9612","http://www.birdlife.org/datazone/sitefactsheet.php?id=19128","http://www.protectedplanet.net/sites/Galapagos_National_Park",
"AMERICAS","Ecuador",43,"ECU2","Single Site","Áreas costeras de Fernandina y del occidente de Isabela",-0.406108,-91.544145,,"Phalacrocorax harrisi","Flightless Cormorant","AVES","PELECANIFORMES","PHALACROCORACIDAE",106003671,3671,"EN",100,,"Protected","Galapagos National Park","Isabela-Fernandina",,,-1,19128,"Galapagos_National_Park","http://www.iucnredlist.org/apps/redlist/details/106003671/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=3671","http://www.birdlife.org/datazone/sitefactsheet.php?id=19128","http://www.protectedplanet.net/sites/Galapagos_National_Park",
"AFRICA","Gabon",364,"GAB1","Single Site","Mount Iboundji",-1.150718,11.7802,,"Werneria iboundji",,"AMPHIBIA","ANURA","BUFONIDAE",61761,,"CR",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/61761/0",,,,
"AFRICA","Kenya",312,"KEN1","Single Site","Lower Tana River",-1.992283,40.143618,,"Cercocebus galeritus","Tana River Mangabey","MAMMALIA","PRIMATES","CERCOPITHECIDAE",4200,,"EN",23,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/4200/0",,,,
"AMERICAS","Ecuador",43,"ECU2","Single Site","Áreas costeras de Fernandina y del occidente de Isabela",-0.406108,-91.544145,,"Spheniscus mendiculus","Galapagos Penguin","AVES","SPHENISCIFORMES","SPHENISCIDAE",106003864,3864,"EN",100,,"Protected","Galapagos National Park","Isabela-Fernandina",,,-1,19128,"Galapagos_National_Park","http://www.iucnredlist.org/apps/redlist/details/106003864/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=3864","http://www.birdlife.org/datazone/sitefactsheet.php?id=19128","http://www.protectedplanet.net/sites/Galapagos_National_Park",
"AMERICAS","Mexico",426,"MEX7","Single Site","Bahia de Loreto National Park",25.85519,-111.091496,,"Peromyscus caniceps","Monserrat Island Deer Mouse","MAMMALIA","RODENTIA","CRICETIDAE",16655,,"CR",100,,"Protected","Parque Nacional Bahia de Loreto",,"No",,0,,"Bahia_De_Loreto_National_Park","http://www.iucnredlist.org/apps/redlist/details/16655/0",,,"http://www.protectedplanet.net/sites/Bahia_De_Loreto_National_Park",
"AFRICA","Kenya",591,"KEN4","Single Site","Taita Hills",-3.379807,38.323898,,"Boulengerula niedeni",,"AMPHIBIA","GYMNOPHIONA","CAECILIIDAE",61920,,"CR",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/61920/0",,,,
"AMERICAS","Mexico",426,"MEX7","Single Site","Bahia de Loreto National Park",25.85519,-111.091496,,"Peromyscus pseudocrinitus","Coronados Deer Mouse","MAMMALIA","RODENTIA","CRICETIDAE",16687,,"CR",100,,"Protected","Parque Nacional Bahia de Loreto","Isla Coronados","No",,-1,,"Bahia_De_Loreto_National_Park","http://www.iucnredlist.org/apps/redlist/details/16687/0",,,"http://www.protectedplanet.net/sites/Bahia_De_Loreto_National_Park",
"AMERICAS","Mexico",426,"MEX7","Single Site","Bahia de Loreto National Park",25.85519,-111.091496,,"Peromyscus slevini","Catalina Deer Mouse","MAMMALIA","RODENTIA","CRICETIDAE",16690,,"CR",100,,"Protected","Parque Nacional Bahia de Loreto","Isla Santa Catalina","No",,-1,,"Bahia_De_Loreto_National_Park","http://www.iucnredlist.org/apps/redlist/details/16690/0",,,"http://www.protectedplanet.net/sites/Bahia_De_Loreto_National_Park",
"AFRICA","Kenya",591,"KEN4","Single Site","Taita Hills",-3.379807,38.323898,,"Suncus aequatorius","Taita Shrew","MAMMALIA","EULIPOTYPHLA","SORICIDAE",136224,,"CR",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/136224/0",,,,
"Africa","Liberia",671,"LBR2","Single Site","Zwedru",6.294377,-8.316455,,"Phyllastrephus leucolepis","Liberian Greenbul","AVES","PASSERIFORMES","PYCNONOTIDAE",106007258,7258,"CR",0,,"Unprotected","Unprotected",,,,-1,6460,,"http://www.iucnredlist.org/apps/redlist/details/106007258/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=7258","http://www.birdlife.org/datazone/sitefactsheet.php?id=6460",,
"AFRICA","Ethiopia",50,"ETH1","Single Site","Bale Mountains",6.92982,39.676185,,"Altiphrynoides malcolmi",,"AMPHIBIA","ANURA","BUFONIDAE",54460,,"EN",100,,"Protected","National Park","Bale Mountains National Park",,,-1,,"Bale_Mountains_National_Park","http://www.iucnredlist.org/apps/redlist/details/54460/0",,,"http://www.protectedplanet.net/sites/Bale_Mountains_National_Park",
"AFRICA","Ethiopia",50,"ETH1","Single Site","Bale Mountains",6.92982,39.676185,,"Balebreviceps hillmani",,"AMPHIBIA","ANURA","BREVICIPITIDAE",57703,,"EN",100,,"Protected","National Park","Bale Mountains National Park",,,-1,,"Bale_Mountains_National_Park","http://www.iucnredlist.org/apps/redlist/details/57703/0",,,"http://www.protectedplanet.net/sites/Bale_Mountains_National_Park",
"AFRICA","Ethiopia",50,"ETH1","Single Site","Bale Mountains",6.92982,39.676185,,"Ericabatrachus baleensis",,"AMPHIBIA","ANURA","PYXICEPHALIDAE",58075,,"EN",100,,"Protected","National Park","Bale Mountains National Park",,,-1,,"Bale_Mountains_National_Park","http://www.iucnredlist.org/apps/redlist/details/58075/0",,,"http://www.protectedplanet.net/sites/Bale_Mountains_National_Park",
"AFRICA","Madagascar",33,"MDG4","Single Site","Anjanharibe-Sud-Marjojey Future Proposed Protected Area",-14.532837,49.295813,,"Brachytarsomys villosa","Hairy-tailed Tree Rat","MAMMALIA","RODENTIA","NESOMYIDAE",136399,,"EN",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/136399/0",,,,
"AFRICA","Ethiopia",50,"ETH1","Single Site","Bale Mountains",6.92982,39.676185,,"Crocidura harenna","Harenna Shrew","MAMMALIA","EULIPOTYPHLA","SORICIDAE",5633,,"CR",100,,"Protected","National Park","Bale Mountains National Park",,,-1,,"Bale_Mountains_National_Park","http://www.iucnredlist.org/apps/redlist/details/5633/0",,,"http://www.protectedplanet.net/sites/Bale_Mountains_National_Park",
"AFRICA","Madagascar",35,"MDG6","Single Site","Ankaratra Massif",-19.34679,47.299557,,"Boophis williamsi",,"AMPHIBIA","ANURA","MANTELLIDAE",57435,,"CR",0,,"Unprotected","Unprotected","Ankaratra Massif",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/57435/0",,,,
"AFRICA","Madagascar",35,"MDG6","Single Site","Ankaratra Massif",-19.34679,47.299557,,"Mantidactylus pauliani",,"AMPHIBIA","ANURA","MANTELLIDAE",57509,,"CR",0,,"Unprotected","Unprotected","Ankaratra Massif",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/57509/0",,,,
"AFRICA","Madagascar",36,"MDG7","Single Site","Anosy Mountains",-24.231857,47.037367,,"Anodonthyla rouxae",,"AMPHIBIA","ANURA","MICROHYLIDAE",57677,,"EN",7,,"Unprotected","Unprotected","Anosy Mountains",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/57677/0",,,,
"AFRICA","Madagascar",52,"MDG8","Single Site","Baly Bay National Park",-16.0842,45.229232,,"Astrochelys yniphora","Ploughshare Tortoise","REPTILIA","TESTUDINES","TESTUDINIDAE",9016,,"CR",99,,"Protected","Baly Bay National Park","Baly Bay National Park",,,-1,,"Baie_De_Baly_National_Park","http://www.iucnredlist.org/apps/redlist/details/9016/0",,,"http://www.protectedplanet.net/sites/Baie_De_Baly_National_Park",
"PACIFIC","New Zealand",76,"NZL2","Single Site","Campbell Island (and outliers)",-52.52,169.168,,"Anas nesiotis","Campbell Islands Teal","AVES","ANSERIFORMES","ANATIDAE",106009819,9819,"CR",0,,"Protected","Campbell Island Nature Reserve",,,,-1,26732,"0","http://www.iucnredlist.org/apps/redlist/details/106009819/0","http://www.birdlife.org/datazone/speciesfactsheet.php?m=1&id=9819","http://www.birdlife.org/datazone/sitefactsheet.php?id=26732","http://www.protectedplanet.net/sites/0",
"AFRICA","Madagascar",179,"MDG10","Single Site","Fierenana",-18.462019,48.390408,,"Mantella milotympanum","Black-eared Mantella","AMPHIBIA","ANURA","MANTELLIDAE",57448,,"CR",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/57448/0",,,,
"AFRICA","Madagascar",179,"MDG10","Single Site","Fierenana",-18.462019,48.390408,,"Scaphiophryne boribory",,"AMPHIBIA","ANURA","MICROHYLIDAE",57995,,"EN",0,,"Unprotected","Unprotected","Fierenanan",,,-1,,,"http://www.iucnredlist.org/apps/redlist/details/57995/0",,,,
"AFRICA","Madagascar",232,"MDG11","Single Site","Isalo",-22.446576,45.288479,,"Gephyromantis azzurrae",,"AMPHIBIA","ANURA","MANTELLIDAE",136160,,"EN",0,,,,,,,0,,,"http://www.iucnredlist.org/apps/redlist/details/136160/0",,,,
